text,published_at,cleaned,sentiment
"윤영철 2 1/3이닝  3자책
김대유,이형범,임기영 2 1/3이닝 10자책
?????????????? 교체의 의미가없는데..",2025-07-08T15:44:47Z,윤영철 2 13이닝 3자책 김대유이형범임기영 2 13이닝 10자책 교체의 의미가없는데,negative
기아를 이겼네 ㅋㅋ,2025-07-08T15:44:03Z,기아를 이겼네 ㅋㅋ,positive
"5:57 주장의 품격, 할때 해주는",2025-07-08T15:43:38Z,557 주장의 품격 해주는,positive
"이형범, 임기영, 최원준 이3명은 함평으로 복귀해야 합니다. 올해 초 이3명이 출전했을 당시 골등을 했던 아픈 기억이 생생합니다.
이런 쓰레기 3인방을 이 중요한 시기에 등판시킨 이범호 또한 함평으로 함께 보냅시다",2025-07-08T15:43:26Z,이형범 임기영 최원준 이3명은 함평으로 복귀해야 합니다 올해 초 이3명이 출전했을 당시 골등을 했던 아픈 기억이 생생합니다 쓰레기 3인방을 중요한 시기에 등판시킨 이범호 함평으로 보냅시다,negative
하 윤영철 나올때마다 이제 겁나 스트레스 받네 진짜,2025-07-08T15:38:50Z,윤영철 나올때마다 이제 겁나 스트레스 받네 진짜,negative
"근대  해설자 아재는  누구에요,,?",2025-07-08T15:38:33Z,근대 해설자 아재는 누구에요,positive
탱구가 야구 센스만 좀더 있다면 꼭 필요한 선수인데 얼먹은듯한 플레이가 하루 한번은 나오니,2025-07-08T15:37:30Z,탱구가 야구 센스만 좀더 있다면 꼭 필요한 선수인데 얼먹은듯한 플레이가 하루 한번은 나오니,neutral
챈성 ㅠ🧡,2025-07-08T15:37:23Z,챈성 ㅠ,positive
연속 스트레이트 볼넷 바뀐투수도 볼넷  주자만루 만들어놓고 안타 계속 맞고 항상 볼넷이 재앙의 시작이드라 그냥 승부해라,2025-07-08T15:37:13Z,연속 스트레이트 볼넷 바뀐투수도 볼넷 주자만루 만들어놓고 안타 계속 맞고 항상 볼넷이 재앙의 시작이드라 그냥 승부해라,neutral
탱구씨 라면으로 혼내주러 갑니다,2025-07-08T15:36:29Z,탱구씨 라면으로 혼내주러 갑니다,negative
오늘은 깔게없네 재미없게스리 ㅎ 4번만  욕심안부리고 흐름 이어가면 대량득점도 가능하다는걸  보여준 두경기 ~~노시환 절대 영웅스윙하지마라~~ 그럼 좋아해줄게 ㅎ,2025-07-08T15:36:23Z,오늘은 깔게없네 재미없게스리 ㅎ 4번만 욕심안부리고 흐름 이어가면 대량득점도 가능하다는걸 보여준 두경기 노시환 절대 영웅스윙하지마라 좋아해줄게 ㅎ,neutral
영철이는 2군에 썩혀라 왜 자꾸 1군에 있는거임?,2025-07-08T15:32:16Z,영철이는 2군에 썩혀라 자꾸 1군에 있는거임,negative
10:30 와 진짜 멋있다.....,2025-07-08T15:30:26Z,1030 진짜 멋있다,negative
윤영철...계륵이네,2025-07-08T15:29:43Z,윤영철계륵이네,positive
"이제 윤영철  기회 줄만큼 줬다고,,,,,,

저 구위로  선발은 아니야,,,,,,,,,",2025-07-08T15:29:33Z,이제 윤영철 기회 줄만큼 줬다고 구위로 선발은 아니야,neutral
"한화는
박빙 클로저
점수차 클로저
패전 클로저

성능이 다 좋네?

ㅎㅎ",2025-07-08T15:29:00Z,한화는 박빙 클로저 점수차 클로저 패전 클로저 성능이 다 좋네 ㅎㅎ,positive
영철아....군대가자,2025-07-08T15:28:25Z,영철아군대가자,positive
"오늘 승리를 즐기자!! 내일은 백퍼 쥐어터지는 날...
내일은 상배기 등판날이니 보나마나고 ㅠㅠ, 모레는 상대 선발이 월등하니 어려운 게임이 예상된다.
근데 8회 만루에서 타자 위즈덤이 가장 좋아하는 코스로 공을 던지는 것은 도대체가....배팅볼도 아니고...김종수, 이재원 정신차리길....",2025-07-08T15:27:45Z,오늘 승리를 즐기자 내일은 백퍼 쥐어터지는 날 내일은 상배기 등판날이니 보나마나고 ㅠㅠ 모레는 상대 선발이 월등하니 어려운 게임이 예상된다 근데 8회 만루에서 타자 위즈덤이 가장 좋아하는 코스로 공을 던지는 것은 도대체가배팅볼도 아니고김종수 이재원 정신차리길,neutral
"오늘 직관갔는데 선우 4타수 4안타, 위즈덤 만루홈런에 만족하고 돌아간다… 낼은 더 힘내줘ㅜㅜㅜㅜㅜㅜㅜ (선우는 진짜 내가 응원한다ㅜㅠㅠㅠㅠ)",2025-07-08T15:27:22Z,오늘 직관갔는데 선우 4타수 4안타 위즈덤 만루홈런에 만족하고 돌아간다 낼은 더 힘내줘ㅜㅜㅜㅜㅜㅜㅜ 선우는 진짜 내가 응원한다ㅜㅠㅠㅠㅠ,neutral
기아 제발 위닝하자,2025-07-08T15:27:21Z,기아 제발 위닝하자,neutral
동주야 넌 누가뭐라해도 대전왕자 맞다!!!! 네 나이에 너만큼하는 투수없으니까 넌 편하게  네공 던져😊,2025-07-08T15:25:48Z,동주야 넌 누가뭐라해도 대전왕자 맞다 나이에 너만큼하는 투수없으니까 넌 편하게 네공 던져,neutral
"기아는 이길 맘이 없는거야?? 왜 윤영철 내리고  나오는 투수들이 이미 졌단 마인드로 패전만 올라와 동점 상황인데..,,뭐지???",2025-07-08T15:24:20Z,기아는 이길 맘이 없는거야 윤영철 내리고 나오는 투수들이 이미 졌단 마인드로 패전만 올라와 동점 상황인데뭐지,negative
나만 울리는건가 화장실에서 소리 지르는것처럼 들리는데,2025-07-08T15:22:44Z,나만 울리는건가 화장실에서 소리 지르는것처럼 들리는데,negative
김태연은 아직도 나오냐.제발 2군가주세요,2025-07-08T15:21:27Z,김태연은 아직도 나오냐제발 2군가주세요,neutral
강하다 한화,2025-07-08T15:21:06Z,강하다 한화,neutral
싱백이가 일찍강판되면 또 모른다.,2025-07-08T15:20:56Z,싱백이가 일찍강판되면 모른다,negative
한화 사랑해🧡,2025-07-08T15:20:24Z,한화 사랑해,positive
엄준식아 내일 5이닝 4실점 미만으로만 어떻게 안되겠냐,2025-07-08T15:18:15Z,엄준식아 내일 5이닝 4실점 미만으로만 안되겠냐,negative
"오늘 문동주 좋지 않았는데,
기아 개콘크보 유사프로투수들 윤영철을 시작으로 줄줄이 비엔나로 나와서 베팅볼 던져 주니깐.. 화나 둘기닭스가 질수가 없었음.
기아 토종투수들 퀄리티 다른 나라 스카우트들이 볼까 무섭다~",2025-07-08T15:18:01Z,오늘 문동주 좋지 않았는데 기아 개콘크보 유사프로투수들 윤영철을 시작으로 줄줄이 비엔나로 나와서 베팅볼 던져 주니깐 화나 둘기닭스가 질수가 없었음 기아 토종투수들 퀄리티 나라 스카우트들이 볼까 무섭다,negative
영철이 한번 갔다와라,2025-07-08T15:17:49Z,영철이 한번 갔다와라,negative
"도대체 해설이 누구임?? 
이건 뭐, 옆에서 한 말, 옆에서 해야할 말을 왜 자기가 복사 붙여넣기를 하나. 하이라이트지만, 거의 90%가 해설이 아닌 캐스터처럼 하네.  그것도 뒷북으로....  근데 누군데?",2025-07-08T15:17:41Z,도대체 해설이 누구임 이건 뭐 옆에서 한 말 옆에서 해야할 말을 자기가 복사 붙여넣기를 하이라이트지만 90가 해설이 아닌 캐스터처럼 하네 그것도 뒷북으로 근데 누군데,neutral
상백아 힘내자... 우준이도 살아났다 보여줘라!!,2025-07-08T15:17:29Z,상백아 힘내자 우준이도 살아났다 보여줘라,positive
김태연 타같새 그만좀 처올리고 차라리 허인서를 키워라..,2025-07-08T15:16:17Z,김태연 타같새 그만좀 처올리고 허인서를 키워라,negative
"10:05 지긴 했지만
오늘 수비 진짜 좋았다 얘들아❤❤",2025-07-08T15:15:50Z,1005 지긴 했지만 오늘 수비 진짜 좋았다 얘들아,neutral
"기아팬이지만 ......한화 올핸 우승하자
기아는 선발 중간계투 모조리 빙딱들 특히 임기영이 고집하는 감독 저놈이 패배의 주역이네 범호야 이제 그만해라 씨발",2025-07-08T15:15:38Z,기아팬이지만 한화 올핸 우승하자 기아는 선발 중간계투 모조리 빙딱들 특히 임기영이 고집하는 감독 저놈이 패배의 주역이네 범호야 이제 그만해라 씨발,neutral
4병살치고 만리런 처맞고도 이길줄 몰랐다,2025-07-08T15:14:55Z,4병살치고 만리런 처맞고도 이길줄 몰랐다,negative
내일빠따식지마라 제발,2025-07-08T15:14:19Z,내일빠따식지마라 제발,positive
반국가세력 폭도집단 곤봉으로 찜질당하니까 정신을 못차리노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T15:14:02Z,반국가세력 폭도집단 곤봉으로 찜질당하니까 정신을 못차리노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,neutral
엘ㅈㅣ 롯데 씨익~,2025-07-08T15:13:46Z,엘ㅈㅣ 롯데 씨익,positive
윤영철은 선발로는 안될듯. 20대 초반 투수가 기교로 던지면 얻어 맞게 되어 있음. 그건 고교야구에서나 통함.,2025-07-08T15:10:50Z,윤영철은 선발로는 안될듯 20대 초반 투수가 기교로 던지면 얻어 맞게 되어 있음 그건 고교야구에서나 통함,neutral
오늘 날씨도 더운데 기분좋게 이겨줘서 고맙습니다!!  내일은 수비실책과 병살타는 안치기로 해요^^,2025-07-08T15:10:45Z,오늘 날씨도 더운데 기분좋게 이겨줘서 고맙습니다 내일은 수비실책과 병살타는 안치기로,neutral
선발을 왜케 빨리 내린거임,2025-07-08T15:09:52Z,선발을 왜케 빨리 내린거임,negative
내일은 엄... 벌써 빡치네. 엄...,2025-07-08T15:08:48Z,내일은 엄 벌써 빡치네 엄,negative
"윤영철 최강야구에 나왔을때 괜찬아 보였는데 프로에 와서는 힘들어 하는거 같네
올해 김경문 류현진 한을 풀수 있을려나",2025-07-08T15:08:47Z,윤영철 최강야구에 나왔을때 괜찬아 보였는데 프로에 와서는 힘들어 하는거 같네 올해 김경문 류현진 한을 풀수 있을려나,neutral
제발 최원준 좀 빼자,2025-07-08T15:07:42Z,제발 최원준 빼자,neutral
"기아가 6월을 백병전으로 버티면서 꾸역꾸역 전선까지 올라오니까 K9 총동원해서 조져버리네.....ㅡㅡ;
그래도 11점차 후반에도 수비 집중하고 공격 포기 않는 기아 멋졌다.",2025-07-08T15:07:27Z,기아가 6월을 백병전으로 버티면서 꾸역꾸역 전선까지 올라오니까 k9 총동원해서 조져버리네ㅡㅡ 11점차 후반에도 수비 집중하고 공격 포기 않는 기아 멋졌다,neutral
"기아팬인데, 올해 코시 상대는 한화구나!",2025-07-08T15:07:15Z,기아팬인데 올해 코시 상대는 한화구나,positive
김종수 만루홈런은 좀 아쉽네요 ^^,2025-07-08T15:04:27Z,김종수 만루홈런은 아쉽네요,negative
이게 한화지,2025-07-08T15:04:10Z,이게 한화지,positive
기아에서 나가라 최원준,2025-07-08T15:03:46Z,기아에서 나가라 최원준,negative
올해 한화는 정말 강하네,2025-07-08T15:03:37Z,올해 한화는 정말 강하네,neutral
기아 감독은 점수차가 있다고 회 가 많이 남았는데 개임을 왜 자꾸 포기하나 따라 잡을려는 근성이 없다 프로야구가 이래도 되나  코리언시리즈 우승만 생각하고 전력을 아낀다고 옹졸한 게임을한다 그날 그날한 게임 마다 이기면 얼마나 희열을 느끼고 좋은데  머리도 능력도 없고 겁많은 감독 오래 안봤으면 한다 한게임 한게임 초선을 다해라 우승보다 과정이 중요하다,2025-07-08T15:02:57Z,기아 감독은 점수차가 있다고 회 많이 남았는데 개임을 자꾸 포기하나 잡을려는 근성이 없다 프로야구가 이래도 되나 코리언시리즈 우승만 생각하고 전력을 아낀다고 옹졸한 게임을한다 그날 그날한 게임 마다 이기면 희열을 느끼고 좋은데 머리도 능력도 없고 겁많은 감독 오래 안봤으면 한다 한게임 한게임 초선을 다해라 우승보다 과정이 중요하다,neutral
문동주 는 류현진 급은 절대로 안될것같다  그냥 그런 투수정도 //,2025-07-08T15:01:41Z,문동주 는 류현진 급은 절대로 안될것같다 그냥 그런 투수정도,negative
기아 선발이나 계투나 허접한 애들 가관이다 낮은 존에 집어 넣지 못하면 구제불능,2025-07-08T15:01:05Z,기아 선발이나 계투나 허접한 애들 가관이다 낮은 존에 집어 넣지 못하면 구제불능,neutral
"동점상황에서 패전조도 못할 놈들을 내는게 이범호식 승부수입니까??
그리고 임기영 이형범 선수들께는 죄송하지만 이제 야구선수로 큰 실적을 낼 실력이 아니다 생각합니다.
임기영선수 본인 및 가족들의 인스타테러에 마음 아파하지 마시고 에프에이때 저희는 그동안의 희생 실적에 대해는 충분히 보상한거 같으니 야구선수 이외의 제2의 인생 진심으로 응원하겠습니다.
그리고 최원준은....아 일단 쓸모가 어딘가는 있을거 같은데 제가 야알못이라ㅠㅠ좀 쓸모좀 아무분이나 알려주십시오ㅠㅠ",2025-07-08T15:00:48Z,동점상황에서 패전조도 못할 놈들을 내는게 이범호식 승부수입니까 임기영 이형범 선수들께는 죄송하지만 이제 야구선수로 큰 실적을 낼 실력이 아니다 생각합니다 임기영선수 본인 가족들의 인스타테러에 마음 아파하지 마시고 에프에이때 저희는 그동안의 희생 실적에 대해는 충분히 보상한거 같으니 야구선수 이외의 제2의 인생 진심으로 응원하겠습니다 최원준은아 쓸모가 어딘가는 있을거 같은데 제가 야알못이라ㅠㅠ좀 쓸모좀 아무분이나 알려주십시오ㅠㅠ,neutral
"윤영철이 왜 선발인지 아시는분? 

볼이 빠른가?  노
변화구가 다양한가? 노
코너웍이 예리한가? 노
커맨드가 좋은가? 노 

알 수가 없네",2025-07-08T15:00:45Z,윤영철이 선발인지 아시는분 볼이 빠른가 노 변화구가 다양한가 노 코너웍이 예리한가 노 커맨드가 좋은가 노 알 수가 없네,negative
"기아 정재훈 코치 짤라라
윤영철 제구 흔들리면 올라와서 조언도 하고 분위기 바꿔야지 그냥 바꾸냐?
그리고 뒤에 나온 김대유 이형범 전부 2군행 시켜라",2025-07-08T15:00:04Z,기아 정재훈 코치 짤라라 윤영철 제구 흔들리면 올라와서 조언도 하고 분위기 바꿔야지 그냥 바꾸냐 뒤에 나온 김대유 이형범 2군행 시켜라,neutral
김종수 엄상백 주현상 그만보자,2025-07-08T14:59:11Z,김종수 엄상백 주현상 그만보자,negative
너무 잔인해서 끝까지 못보겠다,2025-07-08T14:58:43Z,너무 잔인해서 끝까지 못보겠다,negative
"김종수 ㅎㅎㅎㅎㅎㅎ😂
내년에 보자",2025-07-08T14:57:47Z,김종수 ㅎㅎㅎㅎㅎㅎ 내년에 보자,positive
오 기아 유격수 박민우? 맞나요?. 좋은데. 비교는 아직 이른데 지터 95년 느낌 살짝 나는데요. 박찬호 돈 많이 달라하면 보내도 될거 같은데.,2025-07-08T14:57:45Z,기아 유격수 박민우 맞나요 좋은데 비교는 아직 이른데 지터 95년 느낌 살짝 나는데요 박찬호 돈 많이 달라하면 보내도 될거 같은데,neutral
"한화야 우리가 주제를 모르고 덤벼서 미안하다
범호야 총력전 한다면서 한화 시즌 최다 득점 경기를 오늘 선물하냐?ㅋㅋㅋㅋㅋ
선발 전원 안타에 전원 득점??? 장난하냐?
스윕이나 안당하면 다행이라고 생각해야지 뭐
윤영철, 최원준 같은 은퇴한 최강야구보다 딸리는 그런 개폐급 애들을 데리고 무슨 야구를 하겠냐...
범호야 갑자기 6월 잘 나가니까 명장인줄 아는거야?
최원준 매번 흐름 다 끊어 말아먹는 놈을 왜 쓰는거냐 대체???
쓱 오늘 이겨서 1.5게임 차이인데 스윕 당해서 다시 내려가려고 발악하는건가",2025-07-08T14:56:39Z,한화야 우리가 주제를 모르고 덤벼서 미안하다 범호야 총력전 한다면서 한화 시즌 최다 득점 경기를 오늘 선물하냐ㅋㅋㅋㅋㅋ 선발 전원 안타에 전원 득점 장난하냐 스윕이나 안당하면 다행이라고 생각해야지 뭐 윤영철 최원준 같은 은퇴한 최강야구보다 딸리는 그런 개폐급 애들을 데리고 야구를 하겠냐 범호야 갑자기 6월 잘 나가니까 명장인줄 아는거야 최원준 흐름 다 끊어 말아먹는 놈을 쓰는거냐 대체 쓱 오늘 이겨서 15게임 차이인데 스윕 당해서 다시 내려가려고 발악하는건가,neutral
이제 완전 여름이고 케이티 다음으로 강했던 기아전이니까 예전의 엄상백으로 살아나는 경기할수 있었으면 좋겠다🧡,2025-07-08T14:56:37Z,이제 완전 여름이고 케이티 강했던 기아전이니까 예전의 엄상백으로 살아나는 경기할수 있었으면 좋겠다,neutral
롯데팬이지만 한화개잘해..😊,2025-07-08T14:56:35Z,롯데팬이지만 한화개잘해,negative
아니 그렇게 식물이던 타선이 어떻게 기아상대로  터지냥,2025-07-08T14:56:05Z,그렇게 식물이던 타선이 기아상대로 터지냥,negative
난 이동욱 해설위원 나오시면 좀더 이해가 편해서 좋음❤,2025-07-08T14:55:06Z,난 이동욱 해설위원 나오시면 좀더 이해가 편해서 좋음,neutral
종수야 잘가라 🙂,2025-07-08T14:55:03Z,종수야 잘가라,positive
"1.2.3에이스들 쉬게해주고   빅매치를 치르게해서  한화팬들한테 욕겁나먹더만
후반레이스 자신있어서 에이스들 쉬게해준거네   무섭다 한화",2025-07-08T14:54:51Z,123에이스들 쉬게해주고 빅매치를 치르게해서 한화팬들한테 욕겁나먹더만 후반레이스 자신있어서 에이스들 쉬게해준거네 무섭다 한화,negative
몸값이 젤 비싼 투수가 5선발 최약체...,2025-07-08T14:54:48Z,몸값이 젤 비싼 투수가 5선발 최약체,neutral
상백아 웃음이 나오니? ㅋㅋㅋ,2025-07-08T14:53:11Z,상백아 웃음이 나오니 ㅋㅋㅋ,negative
그래 시환아 배트 짧게 안타로 가자!,2025-07-08T14:53:10Z,시환아 배트 짧게 안타로 가자,neutral
박찬호 때메 흐름 다 끊겼네 아오,2025-07-08T14:52:33Z,박찬호 때메 흐름 다 끊겼네 아오,negative
돌범호 여유가 있네 5게임차다,2025-07-08T14:52:04Z,돌범호 여유가 있네 5게임차다,positive
그런데 하이라이트가 엠스플이 아닌 티빙이군~!!!,2025-07-08T14:51:56Z,하이라이트가 엠스플이 아닌 티빙이군,neutral
박민이 수비가 좋네;,2025-07-08T14:51:32Z,박민이 수비가 좋네,positive
'최강한화' 수십년을 거처 이제는 부끄럽지 않은 네글자,2025-07-08T14:51:17Z,최강한화 수십년을 거처 이제는 부끄럽지 않은 네글자,positive
한화 진짜 미쳤다!!,2025-07-08T14:50:36Z,한화 진짜 미쳤다,negative
종수야 힘내라,2025-07-08T14:50:10Z,종수야 힘내라,positive
김태연은 신혼여행 언제감??,2025-07-08T14:50:02Z,김태연은 신혼여행 언제감,positive
리베라토 오고 나서 공격력이 왠지 모르게 좋아 진 느낌이 드네...,2025-07-08T14:50:01Z,리베라토 오고 나서 공격력이 왠지 모르게 진 느낌이 드네,neutral
와~계속 쳐맞네…ㅎㅎ,2025-07-08T14:49:07Z,와계속 쳐맞네ㅎㅎ,positive
한화 🧡🧡🧡🧡🧡🧡🧡🧡,2025-07-08T14:46:46Z,한화,positive
"이원석 3루 도루할때 위즈덤 힘으로 미는거 뭐지...고의적으로 보이는데,,,",2025-07-08T14:45:55Z,이원석 3루 도루할때 위즈덤 힘으로 미는거 뭐지고의적으로 보이는데,positive
임기영 15억ㅋㅋ 심단장 무슨생각으로 에휴 없는것보다 못하다,2025-07-08T14:45:40Z,임기영 15억ㅋㅋ 심단장 무슨생각으로 에휴 없는것보다 못하다,neutral
최원준  이창진  엉망진창! 퓨쳐스 가 수행해,2025-07-08T14:45:07Z,최원준 이창진 엉망진창 퓨쳐스 수행해,positive
"받은 만큼 주는 엄상백.
하지만 엄상백도 항상 못하는 건 아니니까 내일은 또 모른다.",2025-07-08T14:44:55Z,받은 주는 엄상백 엄상백도 항상 못하는 건 아니니까 내일은 모른다,neutral
"어짜피 기아가 위닝이야
목표달성😊",2025-07-08T14:44:40Z,어짜피 기아가 위닝이야 목표달성,negative
"임기영은 최강야구가도 얻어 맞겠는뎅
구속, 제구력, 승부수 암것도 없는듯",2025-07-08T14:44:19Z,임기영은 최강야구가도 얻어 맞겠는뎅 구속 제구력 승부수 암것도 없는듯,positive
이와중에 노시환 타격 메커니즘 생각해봐야됨.이겼는데 초뿌렸음 죄송합니다.,2025-07-08T14:43:42Z,이와중에 노시환 타격 메커니즘 생각해봐야됨이겼는데 초뿌렸음 죄송합니다,negative
채은성 한화 팬 입장에서 진짜 보물이야,2025-07-08T14:43:26Z,채은성 한화 팬 진짜 보물이야,negative
김종수는 2군가라....,2025-07-08T14:43:10Z,김종수는 2군가라,neutral
"리베라토 정규직 기원!!!!!!!!!!
선발전원안타, 전원타점 등 타선 살아난 건 좋은데 우리 투수들 후들겨 패는 기아타선 무섭",2025-07-08T14:43:05Z,리베라토 정규직 기원 선발전원안타 전원타점 타선 살아난 건 좋은데 투수들 후들겨 패는 기아타선 무섭,positive
한화 우승하면 한화그룹 차원에서 전국민에게 성심당 빵 주려나요? 후후,2025-07-08T14:42:46Z,한화 우승하면 한화그룹 차원에서 전국민에게 성심당 빵 주려나요 후후,neutral
하나 우승한번해야지😊,2025-07-08T14:42:41Z,우승한번해야지,positive
"임기영이는 구속 120-135밖에 안나오는데 프로들한테 얼마나 맛있어 보이겠냐.
진심으로 고딩들한테도 뒤지게 맞을거 같다. 이제 욕심 놓고 은퇴해라..",2025-07-08T14:42:24Z,임기영이는 구속 120135밖에 안나오는데 프로들한테 맛있어 보이겠냐 진심으로 고딩들한테도 뒤지게 맞을거 이제 욕심 놓고 은퇴해라,negative
난 티배팅 하는줄 알았다 그냥 기아 투수들 다 퇴출 해야한다고 본다 거의 티배팅볼 수준 이찬동 이우영 위즈덤 무조건 방출 범호야 윤영철 언제까지 선발 쓸래? 이의리는 왜 아직도 아프냐? 짐 싸자,2025-07-08T14:42:13Z,난 티배팅 하는줄 알았다 그냥 기아 투수들 다 퇴출 해야한다고 본다 티배팅볼 수준 이찬동 이우영 위즈덤 무조건 방출 범호야 윤영철 언제까지 선발 쓸래 이의리는 아직도 아프냐 짐 싸자,neutral
동주야 사랑해 🧡,2025-07-08T14:42:03Z,동주야 사랑해,positive
외인 투수 안나오니 막 터지네,2025-07-08T14:40:32Z,외인 투수 안나오니 막 터지네,negative
"큰점수 차이 라서 다행이지  만루 홈런은  종수가 많은걸 느껴야 한다
만루에  홈런 치기 딱 좋은 코스로 던지는건 아니지",2025-07-08T14:40:22Z,큰점수 차이 라서 다행이지 만루 홈런은 종수가 많은걸 느껴야 한다 만루에 홈런 치기 좋은 코스로 던지는건 아니지,neutral
이제 묵고 묵었던 33년만의 안타들이 니오는거니?? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2025-07-08T14:40:10Z,이제 묵고 묵었던 33년만의 안타들이 니오는거니 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,negative
수비형 타자 1루수 식책이나 맨탈나갔다고 만루맞는 투수나 나이가 적은것도 아니고 참,2025-07-08T14:40:08Z,수비형 타자 1루수 식책이나 맨탈나갔다고 만루맞는 투수나 나이가 적은것도 아니고,neutral
"김종수...  하...
얘를 어쩔꼬",2025-07-08T14:39:27Z,김종수 얘를 어쩔꼬,negative
"임기영.윤영철  냉정하게  얘기해서
프로야구에선 먹히지 않는다  어쩌다
한번 운좋아 잘 던지기를  바라면  여러 경기를  망치는것은  팀경기에 악영향을 준다",2025-07-08T14:39:15Z,임기영윤영철 냉정하게 얘기해서 프로야구에선 먹히지 않는다 어쩌다 한번 운좋아 잘 던지기를 바라면 여러 경기를 망치는것은 팀경기에 악영향을 준다,neutral
내일 엄상백이 이렇게 개털릴거같아 현타온 한화팬 개추,2025-07-08T14:37:57Z,내일 엄상백이 이렇게 개털릴거같아 현타온 한화팬 개추,positive
김종수 밥상 차려주니 볼넷에 만루홈런  ㅡ ㅡ,2025-07-08T14:37:56Z,김종수 밥상 차려주니 볼넷에 만루홈런 ㅡ ㅡ,negative
해태시절 당했던 빙그레의 원혼들이여 일어나라. 아작아작 철천지원수 타이거즈 아작내자.,2025-07-08T14:37:44Z,해태시절 당했던 빙그레의 원혼들이여 일어나라 아작아작 철천지원수 타이거즈 아작내자,negative
내년에 박찬호보내고 박민을 유격수로가자 수비진짜잘한다 박찬호 최원준잡지마라 최형우는 잡아야하고 양현종은 안잡을수가 없잖아,2025-07-08T14:37:16Z,내년에 박찬호보내고 박민을 유격수로가자 수비진짜잘한다 박찬호 최원준잡지마라 최형우는 잡아야하고 양현종은 안잡을수가 없잖아,neutral
20살이 무슨 기교파여 ㅋㅋ 145던져라,2025-07-08T14:37:15Z,20살이 기교파여 ㅋㅋ 145던져라,positive
김태연 서산 가야혀,2025-07-08T14:37:09Z,김태연 서산 가야혀,positive
윤영철이.... 겨울 내내 도대체 뭐했냐?,2025-07-08T14:36:31Z,윤영철이 겨울 내내 도대체 뭐했냐,negative
"김태연은 수비 진짜 못 한다 하
그렇다고 지명타자 할 수준의 타격도 아니고 참...",2025-07-08T14:36:26Z,김태연은 수비 진짜 못 한다 그렇다고 지명타자 할 수준의 타격도 아니고,negative
임기영 하….,2025-07-08T14:35:20Z,임기영,positive
윤영철 얘는 구속도 안돼 제구도 안돼 선발이 5이닝이상도 못던져 일마 왜자꾸 기용하냐 범호야?,2025-07-08T14:34:27Z,윤영철 얘는 구속도 안돼 제구도 안돼 선발이 5이닝이상도 못던져 일마 왜자꾸 기용하냐 범호야,neutral
이것도야구라고.ㅆ ㅍ,2025-07-08T14:34:21Z,이것도야구라고ㅆ ㅍ,positive
"3대3에 게임 포기하는 감독 처음보네
영철이 언제까지 부등부등 해줄껍니까?
그냥 던지게 두시지
어차피 게임포기 할꺼면 벌투라도 좀 시켜요
그리고 영철아 군대좀 일찍좀 가주라
의리 동하 편하게",2025-07-08T14:34:11Z,3대3에 게임 포기하는 감독 처음보네 영철이 언제까지 부등부등 해줄껍니까 그냥 던지게 두시지 어차피 게임포기 할꺼면 벌투라도 시켜요 영철아 군대좀 일찍좀 가주라 의리 동하 편하게,neutral
"이범호감독님 무슨생각이신가요?
당신의 잘못된 선택으로 지난 일요일경기 패하고 오늘도 패하고 1위팀이 만만하게 볼수있는 팀인가요?
아무리 주전이 부상으로 빠져있다해도 어느정도 비빌수가 있어야지 선발 난타당하고 불펜도 난타당하고 전술이란게 있는건가요?",2025-07-08T14:33:44Z,이범호감독님 무슨생각이신가요 당신의 잘못된 선택으로 지난 일요일경기 패하고 오늘도 패하고 1위팀이 만만하게 볼수있는 팀인가요 아무리 주전이 부상으로 빠져있다해도 어느정도 비빌수가 있어야지 선발 난타당하고 불펜도 난타당하고 전술이란게 있는건가요,neutral
키움입니다~~ 플로리얼 잘 쓰시고.. 리베라토는 우리가 쓰겠습니다. 땡큐~♥,2025-07-08T14:33:27Z,키움입니다 플로리얼 잘 쓰시고 리베라토는 우리가 쓰겠습니다 땡큐,positive
타선까지 살아나면 벨붕이지,2025-07-08T14:32:52Z,타선까지 살아나면 벨붕이지,negative
"엄상백은 웃음이 나오나..?
김종수는 진짜 2군 보내라",2025-07-08T14:32:38Z,엄상백은 웃음이 나오나 김종수는 진짜 2군 보내라,negative
울팀이 질줄 알았지  한화는 강팀이다😊,2025-07-08T14:32:13Z,울팀이 질줄 알았지 한화는 강팀이다,negative
폰류와 없이ㅜ최소 위닝가자고,2025-07-08T14:32:13Z,폰류와 없이ㅜ최소 위닝가자고,positive
100대0으로 져도된다 범호야 기영이 함평에서 도영이 다리 마사지나 해주라해라.임기영 언제또왔냐,2025-07-08T14:32:07Z,100대0으로 져도된다 범호야 기영이 함평에서 도영이 다리 마사지나 해주라해라임기영 언제또왔냐,negative
난도질  당했군~근데 한화가 언제부터 최강한화냐? 최강기아 따라하냐,2025-07-08T14:31:20Z,난도질 당했군근데 한화가 언제부터 최강한화냐 최강기아 따라하냐,neutral
기아 해체해라 ㅆ ㅂ ㄴ ㅇ,2025-07-08T14:30:32Z,기아 해체해라 ㅆ ㅂ ㄴ ㅇ,negative
