text,published_at,cleaned,sentiment_pred
6:56 찐 동생 나왔닼ㅋㅋㅋㅋ,2024-12-03 06:13:34+00:00,656 찌다 동생 나오다 ㅋㅋㅋ,neutral
위인전 쓰고 싶다며.!!!!!!!!!!!!!!!!!!!!!!!!,2024-12-02 17:16:47+00:00,위인 쓰다 싶다,neutral
GD를 삼킨.이찬혁 ㅋㅋㅋㅋㅋㅋㅋㅋ 작가 누구냐.ㅋz,2024-11-29 00:39:42+00:00,삼키다 이찬혁 ㅋㅋㅋ 작가,neutral
진짜 김태오 닮았네 ㅋㅋㅋ,2024-11-27 19:46:15+00:00,김태오 닮다 ㅋㅋㅋ,neutral
솔직히 광고 더럽게 많다,2024-11-27 13:24:52+00:00,솔직하다 광고 더럽다 많다,positive
수현아 힘내!,2024-11-23 10:34:14+00:00,수현 힘내다,neutral
악뮤는 내 인생 가수임,2024-11-21 09:00:12+00:00,악뮤 인생 가수,neutral
역시 천재라 배려도 깊고 생각도 바르네요,2024-11-17 09:48:53+00:00,역시 천재 배려 깊다 생각 바르다,positive
역시 천재네.. 공기의 순서를 정하네..ㅋㅋㅋ,2024-11-17 02:07:23+00:00,역시 천재 공기 순서 ㅋㅋㅋ,neutral
ㅋㅋㅋㅋㅋ아너무웃겨ㅋㄱㄲㄱㄱㅋ,2024-11-16 09:36:34+00:00,ㅋㅋㅋ 웃기다 ㅋㄱㄲㄱㄱㅋ,negative
찬혁❤악뮤좋아,2024-11-16 03:17:01+00:00,찬혁악뮤좋,neutral
지디 컴백했는뎅 찬혁이랑 같이 무대하는거보고싶다 ㅎㅎㅎㅎㅎ,2024-11-16 02:34:42+00:00,지다 컴백 찬혁 무대 보다 ㅎㅎㅎ,neutral
서로 정말 잘해주는거같아서 보는내가 뿌듯해 노래도 너무좋고 그래서 더 와닿나봐,2024-11-15 20:22:21+00:00,서로 보다 뿌듯하다 노래 좋다 오다 닿다 보다,positive
수현이에게서 그 김고은씨가 얼핏보임..!!,2024-11-15 17:31:57+00:00,수현 김고은 얼핏 보임,neutral
UV 페이크다큐 아니었네ㅋㅋ,2024-11-15 13:05:49+00:00,페이크 다큐 아니다 ㅋㅋ,neutral
사적인 자리를 즐기지 않는 다는 말에서 진짜 찐이란게 느껴진다,2024-11-14 21:48:27+00:00,사적 자리 즐기다 않다 달다 찌다 이란 느껴지다,neutral
찬혁이. 위인전은 지금 위키백과로 채워지는중이야,2024-11-14 03:43:04+00:00,찬혁 위인 지금 위키 과로 채우다 중이,negative
"나는 딱 듣고 아 내 말에 집중될 수 있게 정적의 시간을 좀 가졌다고 할 수도 있는데 세호님의 기운을 뺀다, 공기를 내 앞 순서로 뒀다는 표현이 너무 신박하고 참신해서 감동하고 있었는데 옆에서 수현이가 다른 말로 정리해주신 유재석님을 극찬하길래 뜨끔했다 ㅋㅋㅋㅋㅋ",2024-11-11 03:32:41+00:00,듣다 집중 정적 가지다 수도 기운 빼다 공기 순서 두다 표현 박하 참신하다 감동 수현 말로 정리 유재석 극찬 뜨끔하다 ㅋㅋㅋ,positive
내 최애 보이스 악뮤,2024-11-10 02:52:41+00:00,최애 보이스 악뮤,neutral
힘내요. 악뮤. Forever ~,2024-11-09 11:07:12+00:00,힘내다 악뮤,neutral
"먼 지디를 삼켜 
삼킨적도 뱉은적도 없다 퉤퉤",2024-11-08 06:46:13+00:00,멀다 삼키다 삼키다 적도 뱉다 적도 없다 퉤퉤,negative
"악뮤 좋아요 보물이에요♡ 
항상 틈틈히 생각날때마다 듣고, 찾아봐요! 
찬혁아 언제나 응원해❤",2024-11-08 04:50:48+00:00,악뮤 좋다 보물 항상 틈틈하다 생각나다 듣다 찾아보다 찬혁 언제나 응원,positive
일단 한돈이 되었네,2024-11-06 14:34:56+00:00,되어다,neutral
참 멋있다. 둘다. 성숙하다 참. 감정과 변화를 있는 그대로 바라본다는것이 너무나 느껴져. 존재자체로 사랑하는 being love,2024-11-06 12:33:54+00:00,차다 멋있다 두다 성숙하다 차다 감정 변화 그대로 바라보다 너무나 느껴지다 존재 자체 사랑,positive
이 시람들 유쾌하다 좋다😊,2024-11-05 11:53:34+00:00,유쾌하다 좋다,positive
찬혁군 엔팁이라더니. ㅋㅋㅋ 이해가 갑니다. 😊,2024-11-05 08:51:20+00:00,찬혁군 더니 ㅋㅋㅋ 이해 가다,negative
찬혁이랑 소연이 만나서 노래하나만들었음 좋은곡나올꺼같은데,2024-11-04 07:08:54+00:00,찬혁 소연 만나다 노래 만들다 좋다 나오다,positive
"끝부분에서 진지한 애기 너무 좋네요 직업 수행하는 부분으로도 힘든 점이 있고, 가족 구성원으로서 그 역할 다하는 것도 힘들고 같이 서로 힘든 시기마다 서로가 중재자든, 비타민이든 역할하면서 채워주는 모습 너무 보기 좋아요 진짜 다른 댓 말마다나 두 분 다 너무 성숙하세요 참 배워가는게 많네요 이 영상 하나로",2024-11-03 11:57:12+00:00,부분 진지하다 애기 좋다 직업 수행 부분 힘드다 가족 구성원 역할 힘들다 서로 힘드다 시기 서로 중재 비타민 역할 채우다 모습 보기 좋다 마다나 성숙하다 차다 배우다 많다 영상 하나로,positive
유퀴즈 지디보고나니 이 영상이 바로 플레이됨 ㅋㅋㅋㅋ,2024-11-03 10:34:01+00:00,퀴즈 디보 나니 영상 플레이 ㅋㅋㅋ,neutral
마이웨이 ❤ 청개구리기질 아주좋아요 내 스타일이야😊,2024-11-03 10:22:19+00:00,마이웨이 청개구리 기질 아주 좋다 스타일,positive
"눈물 나 ㅠㅠ
정말 잘 자랐고
어여쁘고 소중하고
사랑스러운 관계다
내 가정도 이러했으면..
사랑스러워 온가족 모두",2024-11-03 09:22:44+00:00,눈물 ㅠㅠ 자다 자르다 어여쁘다 소중하다 사랑스럽다 관계 가정 이러하다 사랑스럽다 가족,positive
열린결말 위인전 세계최초에 도전하자! ㅋㅋㅋㅋㅋㅋ 힙합은 멋지지 않다는 때가 정점인줄 알았던 내가 잘못했다. 정말 행복하다 Gd와 너를 동시에 누릴 수 있는 우리는 말이다.,2024-11-03 05:53:00+00:00,열리다 결말 위인 세계 최초 도전 ㅋㅋㅋ 힙합 멋지다 않다 정점 알다 행복하다 오다 동시 누리다,positive
"5:01 라디오스타 에피소듴ㅋㅋㅋ
5:08 10초 정도를 가만히 있는 거예요",2024-11-02 15:53:15+00:00,501 라디오스타 에피소드 ㅋㅋㅋ 508 10초 정도 가만히,positive
ㅋㅋㅋ귀욥다 둘다 ㅎㅎㅎ,2024-11-02 12:59:50+00:00,ㅋㅋㅋ 두다 ㅎㅎㅎ,positive
남매가 정말 멋지다~ ❤️ 사랑스런 남매,2024-11-02 01:23:43+00:00,남매 멋지다 사랑스럽다 남매,positive
5:49 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고개숙인 수현,2024-11-01 08:17:56+00:00,549 ㅋㅋㅋ 고개 숙이다 수현,neutral
첨부터 등장 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-11-01 08:11:52+00:00,처음 등장 개웃 기네 ㅋㅋㅋ,neutral
GD가 컴백하니까 이게 뜨네...😊,2024-11-01 04:51:50+00:00,가다 컴백 뜨다,neutral
진짜 너무귀엽쟈나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-11-01 03:17:54+00:00,귀엽다 ㅋㅋㅋ,positive
군대가 그래도 소중한 기억인게 가족의 소중함을 느끼게 해준 경험이였음,2024-10-31 20:33:48+00:00,군대 소중하다 기억 가족 소중하다 느끼다 경험,positive
"너무 이쁜 악뮤❤
행복하세요.",2024-10-31 04:30:19+00:00,이쁘다 악뮤 행복하다,positive
선글라스 어딜껀지 궁금하네용,2024-10-30 04:16:44+00:00,선글라스 어딜껀 궁금하다,neutral
"너무 어릴때부터 천재소리들으며 모든일들이 쉽게 이루어나가니 일반사람과 나는 다르다는 생각을 가지고 사는사람같네요...
그런데 음악적으로는 찬혁 수현 둘다 너무 좋아 반박할수가 없네요~ ㅎㅎ",2024-10-29 08:40:38+00:00,어리다 천재 소리 들다 모든 쉬다 이루다 나가다 일반 사람과 다르다 생각 가지 살다 사람 음악 찬혁 수현 두다 좋다 반박 없다 ㅎㅎ,positive
우리수현이 잘해낼거라고 믿어의심치않앗!,2024-10-28 20:59:05+00:00,수현 해내다 믿다 심다 않다,positive
찬혁이 위인전 써 기다려😊😊😊😊,2024-10-27 16:06:47+00:00,찬혁 위인 써다 기다리다,neutral
찬혁은 나랑만나면 대화가 정말 잘 될듯❤,2024-10-27 13:59:49+00:00,찬혁 만나다 대화 자다,negative
진짜 천재들~~~🎉🎉,2024-10-27 12:28:50+00:00,천재,neutral
귀여웤ㅋ,2024-10-26 01:19:27+00:00,귀엽다,positive
"한 10초에서 10초정도(?)
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자막쓰면서도 의아한 멘트",2024-10-25 22:38:00+00:00,10초 10초 ㅋㅋㅋ 자막 쓰다 의아 멘트,neutral
힘들때 서로를 비난하고 원망하는대신 돌보고 사랑해주는게 가족이죠 너에게 무슨 이유가 있겠지~~내가 무엇을 해줄수 있을까??하며 따뜻한 시선과 손길을 전하는것,2024-10-25 10:24:41+00:00,힘들다 서로 비난 원망하다 대신 돌보다 사랑 가족 이유 따뜻하다 시선 손길,negative
언제나 사랑스러운 국보 남매❤,2024-10-25 08:17:28+00:00,언제나 사랑스럽다 국보 남매,positive
"수현님이 자신의 마음을, 감정을 잘 알아차리고 저렇게 조리있게 표현하는게 … 정말 대단하네요!! 👍
물음표에 대한 자신만의 해답도 슬럼프도 너끈히 이겨내실 수 있을거라 생각되어
성장통을 겪은 그 이후의 모습이 더 기대됩니다 ❤ 응원합니다 수현님",2024-10-25 01:43:25+00:00,수현 마음 감정 자다 알아차리다 저렇게 조리 표현 대단하다 물음표 대한 해답 슬럼프 끌다 이기다 생각 되어다 장통 겪다 이후 모습 기대 응원 수현,positive
찬혁이가 힙합안멋져 하고부터 쇼미 나락감,2024-10-25 01:27:20+00:00,찬혁이 힙합 멋지다 밉다 나락감,positive
와~ 진짜 찬혁씨를 더 좋아하게 만드는 인터뷰네요 ㅎㅎㅎㅎ 이걸 이제야 보다니 ㅎㅎㅎㅎ 악뮤 사랑합니다!!,2024-10-24 23:30:54+00:00,오다 찬혁씨 좋아하다 만들다 인터뷰 ㅎㅎㅎ 이제야 보다 ㅎㅎㅎ 악뮤 사랑,positive
수현 노래하는 목소리 너무 사랑스럽다.,2024-10-24 15:57:54+00:00,수현 노래 목소리 사랑스럽다,positive
이남매는 온국민과 나라에서 보호해줘야 한다!~,2024-10-23 19:15:35+00:00,남매 국민 나라 보호,neutral
근데 찬혁이는 저래도 돼. 저래도 안 오글거리고 진짜 멋있어. 방송용 캐릭터가 아니라 진짜 저런 사람인것같아서.. 예술병이 아니라 진짜 예술인것같아서,2024-10-23 09:02:18+00:00,찬혁이 저렇다 돼다 저렇다 오글거리다 멋있다 방송 캐릭터 아니다 저런 사람인 술병 아니다 예술인,positive
악뮤의 솔직함과 음악이 너무 좋다,2024-10-23 04:13:23+00:00,악뮤 솔직하다 음악 좋다,positive
오랜날에서 이미 천재들임,2024-10-22 20:56:24+00:00,오랜 이미 천재 들이다,neutral
아무리 엇나가는척하고싶어도 올바름이 피어나는 캐릭이네 나중에 작곡 소재 슬럼프와서 약만 안했음 좋겠다ㅜㅜ,2024-10-22 18:33:37+00:00,아무리 나가다 싶다 올바르다 피다 캐릭 나중 작곡 소재 슬럼프 서다 좋다 ㅜㅜ,positive
지디병이라 할 수있긴 한데 애초에 지드래곤이라는 사람은 아무리 잘생긴 사람이 해도 오글거리고 꼴볼견인 행동들이 그렇지 않게 어울리는 유일한 사람인데 그런 멋진 제스처를 많이 하는게 그분인데 이젠 누가 뜻대로 멋있는걸 하면 그분 때문에 다 지디병이 되버리니까 참 아쉬운거같긴함,2024-10-22 14:12:14+00:00,지다 애초 지드래곤 사람 아무리 잘생기다 사람 해도 오글거리다 꼴볼 견인 행동 않다 어울리다 유일하다 사람 멋지다 제스처 누가 뜻대로 멋있다 때문 지다 버리다 차다 아쉽다,positive
둘다 왜케 귀여워 둘다 순수함,2024-10-21 06:53:07+00:00,두다 이렇게 귀엽다 두다 순수하다,positive
이 둘을 보니 왠지 연우 하영이가 생각난다ㅎ,2024-10-20 11:15:18+00:00,보다 왠지 연우 하영 생각나다,neutral
노벨상 받은 분께서 언급했으면 위인이지^^,2024-10-19 16:53:27+00:00,노벨상 받다 언급 위인,positive
현명하다 아이들이,2024-10-19 07:02:21+00:00,현명하다,positive
얘들은 진짜 나이 40먹어도 악동뮤지션이라는 이름이 어색하지 않겠어ㅋ 애들도 착하고 각자 실력도 좋고ㅋ,2024-10-19 02:43:49+00:00,나이 40 먹다 악동뮤지션 이름 어색하다 않다 착하다 실력 좋다,positive
근데 이제 시집가야지...수현이도 26인데..,2024-10-19 02:23:57+00:00,시집가다 지수현 26,neutral
수현아 변신한번 가자,2024-10-18 10:27:39+00:00,수현 변신 한번 가다,neutral
찬혁아 겉멋 아티스트를 따라하는게 아닌 이상 귀 닫아..... 잘하고있어... 박재범스케치북에서 너의 파노라마는 예술이었다..,2024-10-18 10:19:14+00:00,찬혁 겉멋 아티스트 따르다 아니다 닫다 박재범 스케치북 파노라마 예술,positive
너무너무 귀한 남매입니다 빛나요 ❤,2024-10-17 22:29:51+00:00,귀하다 남매 빛나다,positive
'음악은 시간예술이다' 를 완벽히 알고있네 이찬혁씨는.. 존경스럽다,2024-10-17 19:35:14+00:00,음악 예술 완벽하다 알다 이찬혁 존경 스럽다,positive
유퀴즈에 지디 나왔대서 보러 왔습니다....,2024-10-17 10:40:52+00:00,퀴즈 지다 나오다 대서 보다 오다,negative
천재...,2024-10-17 01:06:08+00:00,천재,neutral
악뮤가 있어 우울하고 서글픈 세상살이에 큰 위로가 됩니다.❤,2024-10-16 10:06:56+00:00,악뮤 우울하다 서글프다 세상 살이 크다 위로,negative
"아이고 아버님..아들이 좀 사차원이고 부산스럽고 엉뚱해도 받아주시고 품어주시지..틀안에 가두려하셨구나..어릴적 어떻게 자랐나..완벽한 조화이고 
잘커서 부모님이 부럽다하고 궁금했는데.. 자식은 내맘대로안되지만..스스로 잘크고.. 사랑으로 잘 키워주셨네",2024-10-16 05:03:33+00:00,아버님 아들 사차원 부산스럽다 엉뚱하다 받다 품다 틀다 가두다 어리다 어떻다 자르다 완벽하다 조화 크다 부모님 부럽다 궁금하다 자식 안되다 스스로 크다 사랑 자다 키우다,positive
수현아 살 좀만 빼자ㅜㅠ,2024-10-15 16:29:03+00:00,수현 빼다 ㅜㅠ,negative
악뮤 부모님 정말 존경합니다.,2024-10-15 15:45:15+00:00,악뮤 부모님 존경,positive
기특한 남매 ♡,2024-10-15 11:29:28+00:00,기특하다 남매,neutral
해병대가 이렇게 무섭습니다,2024-10-14 22:41:20+00:00,해병대 이렇게 무섭다,negative
찐 남매..찐 뮤지션~,2024-10-14 06:46:00+00:00,찌다 남매 찌다 뮤지션,neutral
1:15 진짜 귀엽다ㅋㅋㅋㅋ,2024-10-12 07:25:06+00:00,115 귀엽다 ㅋㅋㅋ,positive
찬혁이.... 라고 하기에는 형이라. 진짜 멋있다. 말이 진중하고 힘이 실려있는 느낌,2024-10-11 13:50:53+00:00,찬혁 멋있다 진중하다 실리다 느낌,positive
오랜날 오랜밤 작사작곡을 이찬혁이 했다는게 대단하네요,2024-10-11 08:10:37+00:00,오랜 오랜 작곡 이찬혁 대단하다,positive
평소에는 몰랐던 얘기를 들을 수 있어서 좋았어요ㅠㅠ 악뮤가 더 좋아짐,2024-10-10 13:41:43+00:00,평소 모르다 얘기 들다 좋다 ㅠㅠ 악뮤 좋아지다,positive
대화가 안 통하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-10-10 09:19:00+00:00,대화 ㅋㅋㅋ,negative
끝까지 활동 했으면 좋겠다,2024-10-09 22:51:56+00:00,활동 좋다,positive
이 친구들을보면 가정환경과 부모의 양육방식이 참 중요하다는 생각이든다,2024-10-06 22:54:14+00:00,친구 보다 가정 환경 부모 방식 차다 중요하다 생각,positive
1년만에 봐도 진짜 제목 미쳤네 ㅋㅋㅋgd를 삼킨 찬혁이라니 ㅋㅋㅋ,2024-09-29 05:07:39+00:00,1년 보다 제목 미치다 ㅋㅋㅋ 삼키다 찬혁 ㅋㅋㅋ,neutral
이거 보는데 왜 눈물이 나지 …,2024-09-29 02:44:17+00:00,보다 눈물 나다,negative
둘 떨어 트려 줄 사람이 반드시 필요하지요,2024-09-28 19:38:42+00:00,떨다 트려 사람 필요하다,negative
자유로운 영혼 이찬혁... 영리하고 만렙 수현.... 둘이 살짝 삐끗하는 호흡이 넘 완벽하다,2024-09-28 14:09:26+00:00,자유롭다 영혼 이찬혁 영리하다 만렙 수현 살짝 삐끗 호흡 넘다 완벽하다,positive
이찬혁흥해라,2024-09-27 13:26:23+00:00,이찬혁 흥해,negative
ㅋㅋ 나도 GD 좋아해 그거 아닌데,2024-09-23 11:22:57+00:00,ㅋㅋ 나다 좋아하다 그거 아니다,positive
몇 살에 태어났다는 진짜 ㅋㅋ,2024-09-23 11:12:13+00:00,태어나다 ㅋㅋ,neutral
진짜 좋은 오빠고 진짜 좋은 동생이다,2024-09-20 01:46:14+00:00,좋다 오빠 좋다 동생,positive
고음을 내지르는 가수보다 맛나게 노래부르는 수현이가 넘 좋다❤❤ 수현아 너야말로 너하고 싶은거 다해❤❤,2024-09-18 10:21:15+00:00,고음 지르다 가수 나다 노래 부르다 수현 넘다 좋다 수현 싶다 다해,positive
찬혁씨 실종 어떻습니까?,2024-09-13 12:43:52+00:00,찬혁씨 실종 어떻다,neutral
남자욘예인은 군생활보면 답나옴 쟨 군생활도 ㅈㄴ열심히하고 성실하게한것부터 끝,2024-09-13 02:46:05+00:00,남자 예인 군생활 보다 나오다 군생활 ㅈㄴ 열심히 성실하다,positive
Happy birthday Chanhyuk,2024-09-13 01:38:31+00:00,,neutral
I love all AKMU songs,2024-09-13 01:38:13+00:00,,neutral
왠만한 사람이 저러면 재수 없는데 이건 무슨 개그맨도 아니고 찬혁이 저러니까 유쾌하면서 응원하게 됌,2024-09-09 12:26:11+00:00,웬만하다 사람 저러다 재수 없다 개그맨 아니다 찬혁 저러다 유쾌하다 응원 돼다,positive
역시 일단 인성이 좋아야 좋게 보임 찬혁 수현 화이팅,2024-09-09 06:09:47+00:00,역시 인성 좋다 좋다 보임 찬혁 수현 화이팅,positive
악뮤 둘다 너무 사랑스러움 ㅎ,2024-09-04 04:56:19+00:00,악뮤 두다 사랑스럽다,positive
말하는거개신박함ㅋㅋㅋ,2024-08-30 03:33:03+00:00,개다 박하다 ㅋㅋㅋ,neutral
하필 이 얘기를 유재석 앞에서 했네. ㅋㅋㅋㅋㅋㅋ,2024-08-29 16:56:22+00:00,하필 얘기 유재석 ㅋㅋㅋ,neutral
두분이 무대에선 티격태격거려도 항상 서로를 생각하는 것 같네요 앞으로도 두분 마음 그대로 유지돼서 더 좋은 무대 보여주시길 바래요!,2024-08-28 00:29:20+00:00,무대 티격태격거려 항상 서로 생각 마음 그대로 유지 돼다 좋다 무대 보여주다,positive
"2024년 8월에
악뮤를 보는데도 넘 좋으네요.",2024-08-26 13:23:18+00:00,2024년 8월 악뮤 보다 넘다 좋다,positive
真希望字幕可以有換成繁體中文版的功能，為什麼韓國的都不能換，我以為韓國的是世界的節目，唉，累。,2024-08-25 06:38:46+00:00,,neutral
제경험상.. 찬혁씨는..  사.춘.기,2024-08-24 13:01:00+00:00,경험 찬혁씨 사춘기,neutral
ㅋ😂😅위인전.,2024-08-11 12:20:11+00:00,위인,neutral
3:14 몇살에 태어났다는 대체 뭔 말임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ,2024-08-10 02:43:45+00:00,314 태어나다 대체 말임 ㅋㅋㅋ ㅠㅠㅠ,negative
이찬혁은 천재라서 일반인들과 다르다는 거라고 생각하니까 뭔가 이해가 됨 해서 안될 짓 하는 것도 아니고 ㅋㅋㅋㅌ,2024-08-07 23:26:34+00:00,이찬혁 천재 일반인 다르다 생각 뭔가 이해 안되다 아니다 ㅋㅋㅋㅌ,negative
Wish there were Eng subs,2024-08-07 21:30:09+00:00,,neutral
사랑스럽다. 부모님들은 얼매 뿌듯할까..,2024-07-31 14:39:12+00:00,사랑스럽다 부모님 얼다 뿌듯하다,positive
"이때부터 슬슬살이쪗넹...
수현이 ㅠㅠ",2024-07-28 04:52:07+00:00,슬슬 살이 쪗넹 수현 ㅠㅠ,negative
둘은 함께있을때 가장 빛나는거 같아요~,2024-07-22 04:53:12+00:00,가장 빛나다,positive
이찬혁군은 ㅇ살에 태어났다?,2024-07-18 00:19:03+00:00,이찬혁 태어나다,neutral
참~~정이가는 남매임~ 수현씨 성격 넘 좋아~,2024-07-14 14:22:20+00:00,참정 가다 남매 수현 성격 넘다 좋다,positive
06:53 Best part,2024-07-11 05:28:05+00:00,0653,neutral
천재적인 목소리❤❤❤,2024-07-11 01:10:33+00:00,천재 목소리,neutral
진짜 악뮤 곡 중에서는 음악성으로 버릴 곡이 단 하나도 없음.. 정말 존경스러움,2024-07-09 00:34:15+00:00,악뮤 음악 버리다 없다 존경 스럽다,negative
찬혁이는 찐 천재다~~,2024-07-07 19:00:20+00:00,찬혁이 찌다 천재,neutral
"아!!! 찬혁이 넘 매력있다
미치겠다❤",2024-07-06 14:54:54+00:00,찬혁 넘다 매력 미치다,neutral
너무너무 잘하고 진짜 ㄹㅇ 천재는 맞지만.. 위인전 정도 나오려면 마형이나 프레디형이나 레이찰스.. 스티비정도는 되야 나올텐데..ㅎㅎ;;; 찬혁아 가보자!!!!ㅋㅋㅋㅋ,2024-07-05 20:40:35+00:00,ㄹㅇ 천재 맞다 위인 정도 나오다 프레디 레이 찰스 스티 정도 나오다 ㅎㅎ 찬혁 가보다 ㅋㅋㅋ,positive
Subs??,2024-07-02 17:01:50+00:00,,neutral
저희는 그걸 중2병 또는 늦사춘기 뭐 이렇게 부른답니다.,2024-07-02 08:03:14+00:00,그걸 또는 사춘기 이렇게 부르다,neutral
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-06-28 13:54:25+00:00,ㅋㅋㅋ,neutral
진짜  목소리가 악기라는 말. 이해가 간다!!!,2024-06-25 14:35:53+00:00,목소리 악기 이해 간다,negative
악뮤는 제철,2024-06-22 07:10:21+00:00,악뮤 제철,neutral
유행가 잘 쓴다고 위인전 ..,2024-06-21 04:47:58+00:00,유행가 자다 쓴다 위인,negative
"조나단, 파트리샤 남매랑 같이 나오면 볼 만하겠... ㅋㅋㅋ",2024-06-20 17:32:42+00:00,나단 파트리샤 남매 나오다 ㅋㅋㅋ,neutral
Could someone put English subtitles plz 😢,2024-06-19 14:28:14+00:00,,neutral
참 좋은 가족,2024-06-16 02:00:52+00:00,차다 좋다 가족,positive
진짜 나올때부터 천재. 극호감~  그냥 노래 자체가 좋음.,2024-06-13 07:46:08+00:00,나오다 천재 호감 그냥 노래 자체 좋다,positive
착하고 재능있는 관종이랄까 ㅎㅎ,2024-06-09 04:42:36+00:00,착하다 재능 종이 끄다 ㅎㅎ,positive
재들은 난애들이야... 아트스트야,2024-06-07 18:35:37+00:00,난애 아트스트,neutral
오누이 사랑이  느껴지네요,2024-06-05 21:28:46+00:00,오누이 사랑 느껴지다,positive
"찬혁이나 수현이는 나이대가
내 조카들같은 귀여운 애들인데
앞으로도 사고없이 승승장구하는
그룹이 되어주기를 기원합니다~❤",2024-06-03 07:49:23+00:00,찬혁 수현 나이 대가 조카 귀엽다 사고 없이 승승장구 그룹 되어다 주기 기원,positive
"예전에 요 영상보고 킥킥대며 댓글 달았던 것 같은데,영상 또 보다보니 안 쓸 수 없네요ㅋ
천상의 목소리로 수현이 날숨 뱉듯
""혼자 일어날 나이잖아요~"" 
정말 또 떼굴 구를 뻔 ㅋㅋㅋㅋ
응원해요 악뮤~~~❤",2024-06-01 23:41:46+00:00,예전 영상 보고 킥킥대다 댓글 달다 영상 보다 보다 쓸다 없다 천상 목소리 수현 날숨 뱉다 일어나다 나다 떼굴 구르다 ㅋㅋㅋ 응원 악뮤,neutral
AKMU will release new mini album on June 3rd. Love Episode,2024-05-30 05:05:01+00:00,,neutral
넘어질때 가만히 웃고만 있는거 넘 웃김 ㅋㅋㅋㅋㅋㅋㅋ,2024-05-28 10:30:49+00:00,넘어지다 가만히 웃다 넘다 웃기다 ㅋㅋㅋ,neutral
이 남매 너무 좋아,2024-05-27 15:37:07+00:00,남매 좋다,positive
참 YG입장에서 보면 그 많은 가수들 사고 치고 난리인데 바른 생각과 행동으로 YG를 지키고 있으니 진짜 YG의 보물이다.,2024-05-24 01:50:49+00:00,차다 입장 보다 많다 가수 사고 난리 바르다 생각 행동 지키다 보물,positive
재미+감동+ 역대급실력 을 보유한 뮤지션~♡♡♡,2024-05-22 12:40:10+00:00,재미 감동 역대 실력 보유 뮤지션,positive
나만그런가? 찬혁이보면 류준열 생각이..난다,2024-05-20 03:47:30+00:00,런가 찬혁이보 류준열 생각,neutral
찬혁천재,2024-05-19 17:14:59+00:00,찬혁 천재,neutral
찬혁이같은 오빠가 있어서 수현이도  살빼라던지 이뻐지라는 요구도 없고 연예인인데 친근한일반인 이미지를 더 가진다고 생각함.,2024-05-19 13:09:38+00:00,찬혁이같 오빠 수현 살빼다 던지다 이쁘다 요구 없다 연예인 친근하다 일반인 이미지 가지다 생각,positive
수현님 마음도 다는 아니지만 이해가서 눈물이 난다 ㅠㅠ,2024-05-19 11:25:24+00:00,수현 마음 달다 아니다 이해 가다 눈물 나다 ㅠㅠ,negative
"악뮤 처음 kpopstar 본방 나왔을 때부터 입덕해서 아직도 팬입니당~
제가 너무 아끼고 좋아하는 음악, 팀인데 볼 수 있어서 감사해요
인간적으로 너무 좋고, 앞으로도 더 알아가고 싶네요
앞으로도 응원해요!! ❤❤❤💙💙💙",2024-05-19 10:21:29+00:00,악뮤 처음 본방 나오다 입덕 아직도 아끼다 좋아하다 음악 감사하다 인간 좋다 알다 싶다 응원,positive
찬혁이는 정말 어른스럽네. 재능도 인성도 좋은듯,2024-05-19 03:29:56+00:00,찬혁이 어른스럽다 재능 인성 좋다,positive
편협(?)하고 일방(?)적인 요즘 가요계의 다른 세계를 가져다 준 분들,2024-05-19 00:26:00+00:00,편협 일방 요즘 가요 세계 가다,neutral
너무가깝게 느껴져서 보컬 및 작사작곡 천재임을 자꾸 잊는다.,2024-05-15 13:55:47+00:00,가깝다 느껴지다 보컬 작사 작곡 재임 자꾸 잊다,negative
They are so sweet with each other,2024-05-12 01:50:37+00:00,,neutral
수현양…이뽀요…,2024-05-09 08:01:03+00:00,수현,neutral
혼자 일어날수 있는 나이라...,2024-05-07 14:46:29+00:00,일어나다 나이라,neutral
프로니까 즐길줄 아는거 아닌가?,2024-05-03 03:16:43+00:00,프로 즐기다 알다 아니다,positive
부모님이 참 대견해할듯,2024-05-02 13:01:30+00:00,부모님 차다 대견하다,positive
음악천재들.,2024-05-01 14:25:41+00:00,음악 천재,neutral
귀하다 이 남매🎉🎉🎉,2024-04-29 11:16:25+00:00,귀하다 남매,positive
찬혁이 프로듀싱은 진짜 천재적임,2024-04-29 08:54:55+00:00,찬혁 프로듀싱 천재 적임,neutral
